2,Chinchilla de Monte-Aragón,JOSE IGNACIO,DIAZ,HUEDO,03-11-2017,GANEMOS-IU
2,Elche de la Sierra,RAQUEL,RUIZ,LOPEZ,18-04-2016,P.S.O.E.
2,Férez,LUIS DIONISIO,LOPEZ,PEREZ,13-06-2015,P.P.
2,Fuensanta,JOSE MANUEL,NUÑEZ,NUÑEZ,13-06-2015,P.S.O.E.
2,Fuente-Álamo,FELIX,TORRALBA,CASTILLO,13-06-2015,P.S.O.E.
2,Fuentealbilla,ANGEL,SALMERON,GARRIDO,13-06-2015,P.P.
2,"Gineta, La",ANTONIO,BELMONTE,MORAGA,13-06-2015,P.S.O.E.
2,Golosalvo,JOSE ANTONIO,PIQUERAS,GARCIA,13-06-2015,P.P.
2,Hellín,RAMON,GARCIA,RODRIGUEZ,13-06-2015,P.S.O.E.
2,"Herrera, La",PABLO,ESCOBAR,VAZQUEZ,13-06-2015,P.P.
2,Higueruela,OSCAR,TOMAS,MARTINEZ,13-06-2015,P.P.
2,Hoya-Gonzalo,ANTONIO,CALERO,BELMONTE,13-06-2015,P.S.O.E.
2,Jorquera,JESUS MARIA,JIMENEZ,SANCHEZ,13-06-2015,P.P.
2,Letur,MARIA DEL CARMEN,ALVAREZ,LOPEZ,13-06-2015,P.P.
2,Lezuza,ALFONSO,AVENDAÑO,SANCHEZ,13-06-2015,P.S.O.E.
2,Liétor,JOSEFA,MORENO,DOCON,13-06-2015,P.S.O.E.
2,Madrigueras,JUAN CARLOS,TALAVERA,UTIEL,13-06-2015,P.S.O.E.
2,Mahora,ANTONIO,MARTINEZ,GOMEZ,13-06-2015,P.P.
2,Masegoso,PEDRO,INIESTA,CUERDA,13-06-2015,P.P.
2,Minaya,JUAN JOSE,GRANDE,GONZALEZ,16-06-2017,P.P.
2,Molinicos,MARIA DOLORES,SERRANO,GUTIERREZ,13-06-2015,P.S.O.E.
2,Montalvos,VICTOR MANUEL,HIDALGO,OLIVARES,13-06-2015,P.P.
2,Montealegre del Castillo,SINFORIANO,MONTES,SANCHEZ,13-06-2015,P.P.
2,Motilleja,ANTONIO FRANCISCO,ARMERO,GOMEZ,13-06-2015,P.S.O.E.
2,Munera,ANGELES,MARTINEZ,GARCIA,13-06-2015,P.P.
2,Navas de Jorquera,MARIA DOLORES,MURCIA,PEREZ,13-06-2015,P.P.
2,Nerpio,JOSE ANTONIO,GOMEZ,MORENO,13-06-2015,P.S.O.E.
2,Ontur,FRANCISCO ANTONIO,VIZCAINO,MIRALLES,13-06-2015,P.P.
2,Ossa de Montiel,PURIFICACION,SANCHEZ,VITORIA,13-06-2015,P.S.O.E.
2,Paterna del Madera,FRANCISCO,GARCIA,CASTILLO,13-06-2015,P.P.
2,Peñascosa,PEDRO,RODRÍGUEZ,CÓRCOLES,13-06-2015,GANEMOS-IU
2,Peñas de San Pedro,ANTONIO,SERRANO,AGUILAR,13-06-2015,P.P.
2,Pétrola,JUAN,GOMEZ,MOROTE,13-06-2015,P.P.
2,Povedilla,FRANCISCO,VAQUERIZO,CAMACHO,06-05-2017,P.S.O.E.
2,Pozohondo,VICTOR,MARTINEZ,GIMENEZ,13-06-2015,P.S.O.E.
2,Pozo-Lorente,LUIS MIGUEL,ATIENZAR,NUÑEZ,13-06-2015,P.S.O.E.
2,Pozuelo,GREGORIO,MORENO,LOPEZ,13-06-2015,P.S.O.E.
2,"Recueja, La",PEDRO,JIMENEZ,SORIANO,13-06-2015,P.S.O.E.
2,Riópar,FEDERICO,MORENO,SÁNCHEZ,13-06-2015,P.S.O.E.
2,Robledo,JOSEFA,BAÑON,ALCANTUD,13-06-2015,P.S.O.E.
2,"Roda, La",VICENTE,AROCA,SAEZ,13-06-2015,P.P.
2,Salobre,FRANCISCO,MARTINEZ,GARCIA,13-06-2015,P.S.O.E.
2,San Pedro,DANIEL,SANCHA,CAÑADAS,13-06-2015,P.S.O.E.
2,Socovos,JOSE LUIS,SANCHEZ,GOMEZ,13-06-2015,GANEMOS-IU
2,Tarazona de la Mancha,MIGUEL,ZAMORA,SAIZ,13-06-2015,P.S.O.E.
2,Tobarra,PIO,BERNABEU,CAÑETE,13-06-2015,P.P.
2,Valdeganga,FERMIN,GOMEZ,SARRION,13-06-2015,P.P.
2,Vianos,FRANCISCO JOSE,TORRES,NAVARRO,13-06-2015,P.S.O.E.
2,Villa de Ves,JUAN,GARCIA,MOYANO,13-06-2015,P.P.
2,Villalgordo del Júcar,JOSE LUIS,MARTINEZ,CANO,13-06-2015,P.S.O.E.
2,Villamalea,CECILIO,GONZALEZ,BLASCO,13-06-2015,P.S.O.E.
2,Villapalacios,JOSÉ ANGEL,RODRÍGUEZ,HERRERA,13-06-2015,P.S.O.E.
2,Villarrobledo,ALBERTO,GONZALEZ,GARCIA,13-06-2015,P.S.O.E.
2,Villatoya,MARIA LLANOS,SANCHEZ,COLLADO,13-06-2015,P.S.O.E.
2,Villavaliente,LUIS MIGUEL,GIL,ROSELLO,13-06-2015,P.S.O.E.
2,Villaverde de Guadalimar,SILVIO VICTOR,MORENO,SANCHEZ,13-06-2015,P.S.O.E.
2,Viveros,MARIA LUISA,VILCHES,RUIZ,13-06-2015,P.S.O.E.
2,Yeste,CORTES,BUENDIA,SANCHEZ,13-06-2015,P.S.O.E.
2,Pozo Cañada,FRANCISCO,GARCIA,ALCARAZ,13-06-2015,P.S.O.E.
3,Adsubia,JOSEP VICENT,VIDAL,TORRALBA,13-06-2015,IAF
3,Agost,LUIS VICENTE,CASTELLO,VICEDO,22-06-2017,AIA -COMPROMÍS
3,Agres,JOSÉ MANUEL,FRANCÉS,i REIG,13-06-2015,AGRES-COMPROMÍS
3,Aigües,MARIO,CALVO,GINER,13-06-2015,P.S.O.E.
3,Albatera,ANA ILUMINADA,SERNA,GARCIA,15-12-2017,P.P.
3,Alcalalí,MARIA ISABEL,MOLINA,VICENS,13-06-2015,COMPROMIS
3,Alcocer de Planes,ARTURO,ABAD,FERRER,13-06-2015,P.P.
3,Alcoleja,FRANCISCO MIGUEL,FENOLLAR,IVÁÑEZ,13-06-2015,P.S.O.E.
3,Alcoy/Alcoi,ANTONIO ALFONSO,FRANCÉS,PÉREZ,13-06-2015,P.S.O.E.
3,Alfafara,RAQUEL,VICEDO,VICEDO,13-06-2015,P.S.O.E.
3,"Alfàs del Pi, l'",VICENTE,ARQUES,CORTÉS,13-06-2015,P.S.O.E.
3,Algorfa,MANUEL IVAN,ROS,RODES,13-06-2015,P.S.O.E.
3,Algueña,MARÍA DEL CARMEN,JOVER,PÉREZ,13-06-2015,PP
3,Alicante/Alacant,LUIS ,BARCALA,SIERRA,19-04-2018,P.P.
